Number_of_Customers_Per_Day,Operating_Hours_Per_Day,Number_of_Employees,Location_Foot_Traffic,Date,Branch,Region,Average_Order_Value_KES,Marketing_Spend_KES,Daily_Revenue_KES
395,8,2,222,16/11/2019,Capital Centre,Nairobi,445.5,51549.75,233163.9
161,6,11,551,17/11/2019,JKIA Arrival,Nairobi,1003.05,8348.4,161832.6
109,17,8,596,18/11/2019,Nyali Centre,Coast,1350,34831.35,219186
418,10,3,333,19/11/2019,Valley Arcade,Nairobi,386.1,55237.95,228633.3
51,15,5,408,20/11/2019,JKIA Arrival,Nairobi,1327.05,63277.2,123195.6
434,16,6,430,21/11/2019,Kimathi Street,Nairobi CBD,749.25,35318.7,372308.4
353,9,8,919,22/11/2019,Nyali Centre,Coast,1219.05,64211.4,477465.3
303,12,3,954,23/11/2019,JKIA Arrival,Nairobi,1129.95,36786.15,294594.3
189,11,7,960,24/11/2019,Thika Road Mall,Nairobi,911.25,27425.25,204916.5
86,15,2,582,25/11/2019,Thika Road Mall,Nairobi,1085.4,57458.7,183718.8
209,12,8,869,26/11/2019,Capital Centre,Nairobi,1227.15,33960.6,259008.3
58,10,10,212,27/11/2019,Nyali Centre,Coast,746.55,32566.05,82633.5
282,9,6,658,28/11/2019,Thika Road Mall,Nairobi,668.25,33783.75,238036.05
148,12,6,356,29/11/2019,Nyali Centre,Coast,1013.85,57364.2,230049.45
196,12,5,388,30/11/2019,Capital Centre,Nairobi,1155.6,56382.75,246230.55
353,11,4,104,01/12/2019,Valley Arcade,Nairobi,1109.7,28042.2,428460.3
257,13,10,382,02/12/2019,Kimathi Street,Nairobi CBD,1144.8,23398.2,345960.45
180,9,6,176,03/12/2019,Kisumu Mega City,Western,778.95,33890.4,163250.1
453,15,9,989,04/12/2019,Galleria Mall,Nairobi,1165.05,39239.1,482283.45
201,10,10,754,05/12/2019,Galleria Mall,Nairobi,459,17116.65,129528.45
103,9,6,292,06/12/2019,Galleria Mall,Nairobi,888.3,53870.4,144977.85
169,17,11,910,07/12/2019,Nyali Centre,Coast,342.9,33531.3,116908.65
210,6,10,649,08/12/2019,Kimathi Street,Nairobi CBD,665.55,23446.8,220417.2
457,17,3,897,09/12/2019,Thika Road Mall,Nairobi,708.75,8415.9,262381.95
165,13,10,458,10/12/2019,JKIA Arrival,Nairobi,738.45,17149.05,113875.2
124,6,12,552,11/12/2019,Thika Road Mall,Nairobi,1042.2,64145.25,207276.3
162,10,5,776,12/12/2019,Galleria Mall,Nairobi,730.35,21532.5,173658.6
469,11,7,653,13/12/2019,Nyali Centre,Coast,792.45,12519.9,449274.6
471,11,7,352,14/12/2019,Capital Centre,Nairobi,577.8,31823.55,299335.5
153,10,7,513,15/12/2019,Thika Road Mall,Nairobi,715.5,21663.45,86949.45
389,8,3,284,16/12/2019,Valley Arcade,Nairobi,567,3676.05,194691.6
303,10,8,745,17/12/2019,Nyali Centre,Coast,411.75,22725.9,125451.45
276,17,14,87,18/12/2019,Valley Arcade,Nairobi,949.05,37342.35,311239.8
161,13,7,188,19/12/2019,Galleria Mall,Nairobi,1013.85,37845.9,213852.15
148,7,12,244,20/12/2019,Galleria Mall,Nairobi,965.25,24935.85,137845.8
202,11,2,576,21/12/2019,Galleria Mall,Nairobi,807.3,30939.3,170672.4
398,14,3,818,22/12/2019,Nyali Centre,Coast,722.25,65218.5,346816.35
451,13,8,696,23/12/2019,Galleria Mall,Nairobi,1212.3,26311.5,525077.1
433,16,2,50,24/12/2019,Nyali Centre,Coast,862.65,18431.55,362682.9
415,13,2,610,25/12/2019,Galleria Mall,Nairobi,822.15,17455.5,334575.9
387,13,2,145,26/12/2019,JKIA Arrival,Nairobi,363.15,31630.5,207272.25
243,12,9,762,27/12/2019,Kisumu Mega City,Western,683.1,51591.6,216083.7
359,13,5,462,28/12/2019,JKIA Arrival,Nairobi,722.25,14975.55,241146.45
212,11,5,587,29/12/2019,JKIA Arrival,Nairobi,741.15,48270.6,177670.8
257,7,14,904,30/12/2019,Valley Arcade,Nairobi,924.75,2748.6,211972.95
494,7,3,478,31/12/2019,Kisumu Mega City,Western,877.5,29062.8,440648.1
218,13,12,284,01/01/2020,Nyali Centre,Coast,953.1,52672.95,219457.35
210,16,12,398,02/01/2020,Capital Centre,Nairobi,1112.4,23757.3,236633.4
117,6,12,805,03/01/2020,Thika Road Mall,Nairobi,1161,38641.05,211542.3
338,11,2,919,04/01/2020,Kisumu Mega City,Western,1065.15,14909.4,363887.1
447,11,13,530,05/01/2020,Thika Road Mall,Nairobi,1305.45,50433.3,610915.5
326,16,11,888,06/01/2020,JKIA Arrival,Nairobi,356.4,4808.7,128553.75
353,9,10,445,07/01/2020,Kisumu Mega City,Western,535.95,57746.25,241400.25
453,17,8,400,08/01/2020,Kimathi Street,Nairobi CBD,345.6,14461.2,143506.35
433,16,5,465,09/01/2020,Thika Road Mall,Nairobi,993.6,59192.1,510335.1
441,16,13,935,10/01/2020,Capital Centre,Nairobi,1247.4,24669.9,554470.65
184,15,7,965,11/01/2020,Capital Centre,Nairobi,584.55,49154.85,150384.6
244,8,3,936,12/01/2020,Thika Road Mall,Nairobi,1275.75,22466.7,263129.85
450,16,8,100,13/01/2020,Galleria Mall,Nairobi,398.25,61276.5,233617.5
177,8,3,130,14/01/2020,Valley Arcade,Nairobi,1283.85,9726.75,233782.2
82,6,11,85,15/01/2020,Capital Centre,Nairobi,693.9,13158.45,53173.8
225,8,9,116,16/01/2020,Valley Arcade,Nairobi,440.1,33963.3,148976.55
492,9,9,690,17/01/2020,JKIA Arrival,Nairobi,828.9,6770.25,415525.95
420,16,2,931,18/01/2020,Nyali Centre,Coast,598.05,14314.05,245022.3
424,16,14,716,19/01/2020,Kisumu Mega City,Western,626.4,63780.75,341022.15
71,10,9,806,20/01/2020,Galleria Mall,Nairobi,648,65944.8,158816.7
287,8,3,672,21/01/2020,Thika Road Mall,Nairobi,1150.2,26239.95,307239.75
207,11,7,729,22/01/2020,Kimathi Street,Nairobi CBD,882.9,62425.35,237250.35
87,16,14,530,23/01/2020,Kimathi Street,Nairobi CBD,652.05,37389.6,126746.1
279,17,2,517,24/01/2020,JKIA Arrival,Nairobi,955.8,19192.95,269789.4
414,10,6,191,25/01/2020,Kimathi Street,Nairobi CBD,1062.45,47814.3,470877.3
100,8,12,405,26/01/2020,Valley Arcade,Nairobi,612.9,44936.1,123464.25
487,11,8,758,27/01/2020,Valley Arcade,Nairobi,756,66780.45,457938.9
313,11,14,520,28/01/2020,Nyali Centre,Coast,460.35,18882.45,169767.9
332,13,11,670,29/01/2020,Valley Arcade,Nairobi,521.1,45806.85,236533.5
76,7,2,937,30/01/2020,Capital Centre,Nairobi,1027.35,4791.15,110457
275,6,3,640,31/01/2020,JKIA Arrival,Nairobi,521.1,8868.15,185652
326,9,8,951,01/02/2020,Capital Centre,Nairobi,869.4,1609.2,318072.15
335,12,7,722,02/02/2020,Kimathi Street,Nairobi CBD,1055.7,67464.9,403857.9
146,16,4,488,03/02/2020,Galleria Mall,Nairobi,445.5,54419.85,206842.95
333,15,11,580,04/02/2020,Kimathi Street,Nairobi CBD,911.25,53391.15,323576.1
416,8,3,176,05/02/2020,Kimathi Street,Nairobi CBD,596.7,35068.95,328259.25
497,8,11,254,06/02/2020,Kimathi Street,Nairobi CBD,1312.2,21199.05,601628.85
366,10,5,78,07/02/2020,Kimathi Street,Nairobi CBD,827.55,11356.2,287767.35
353,10,4,494,08/02/2020,JKIA Arrival,Nairobi,1152.9,20181.15,397049.85
196,15,8,768,09/02/2020,Nyali Centre,Coast,895.05,26221.05,173809.8
53,8,9,513,10/02/2020,Kisumu Mega City,Western,382.05,51379.65,97634.7
84,14,3,329,11/02/2020,Kisumu Mega City,Western,978.75,37048.05,107551.8
241,9,11,200,12/02/2020,Thika Road Mall,Nairobi,1301.4,6475.95,258643.8
98,8,8,289,13/02/2020,Galleria Mall,Nairobi,946.35,2542.05,86235.3
66,16,9,315,14/02/2020,Thika Road Mall,Nairobi,1166.4,8118.9,124389
221,7,7,743,15/02/2020,Thika Road Mall,Nairobi,1232.55,28503.9,281051.1
269,15,7,154,16/02/2020,JKIA Arrival,Nairobi,568.35,63080.1,257625.9
207,16,11,986,17/02/2020,Nyali Centre,Coast,552.15,43514.55,145304.55
95,14,2,482,18/02/2020,JKIA Arrival,Nairobi,955.8,54390.15,128652.3
422,9,5,962,19/02/2020,Kisumu Mega City,Western,753.3,32200.2,346658.4
55,8,2,546,20/02/2020,Kisumu Mega City,Western,1188,25274.7,144119.25
148,12,5,489,21/02/2020,Kimathi Street,Nairobi CBD,1248.75,8521.2,184756.95
429,13,3,797,22/02/2020,Galleria Mall,Nairobi,695.25,59293.35,379695.6
282,16,12,734,23/02/2020,Thika Road Mall,Nairobi,577.8,53156.25,266747.85
86,7,14,207,24/02/2020,JKIA Arrival,Nairobi,1127.25,12471.3,104969.25
329,12,6,221,25/02/2020,Kisumu Mega City,Western,615.6,35236.35,231028.2
398,17,11,543,26/02/2020,Thika Road Mall,Nairobi,1170.45,33589.35,482386.05
351,10,10,360,27/02/2020,Kisumu Mega City,Western,766.8,42699.15,323831.25
230,16,12,452,28/02/2020,Kisumu Mega City,Western,1013.85,63940.05,268004.7
144,10,13,718,29/02/2020,Capital Centre,Nairobi,434.7,39702.15,123874.65
148,8,11,819,01/03/2020,Kisumu Mega City,Western,969.3,37085.85,184720.5
237,10,4,725,02/03/2020,Capital Centre,Nairobi,795.15,4679.1,155306.7
165,17,9,708,03/03/2020,Kisumu Mega City,Western,931.5,5510.7,144709.2
240,7,4,952,04/03/2020,Nyali Centre,Coast,507.6,13743,98793
302,9,7,715,05/03/2020,Kisumu Mega City,Western,1084.05,3497.85,259096.05
465,11,5,512,06/03/2020,Kimathi Street,Nairobi CBD,1210.95,50522.4,584370.45
210,6,9,416,07/03/2020,Kisumu Mega City,Western,557.55,49198.05,203530.05
305,15,12,599,08/03/2020,Capital Centre,Nairobi,434.7,10350.45,125474.4
372,9,7,692,09/03/2020,Kisumu Mega City,Western,361.8,56656.8,180176.4
177,11,9,919,10/03/2020,Valley Arcade,Nairobi,986.85,11589.75,152847
67,14,2,304,11/03/2020,Kimathi Street,Nairobi CBD,951.75,21273.3,104121.45
330,16,7,257,12/03/2020,Valley Arcade,Nairobi,891,17820,336376.8
272,16,2,499,13/03/2020,Thika Road Mall,Nairobi,572.4,25978.05,199893.15
103,7,2,144,14/03/2020,Kimathi Street,Nairobi CBD,733.05,18196.65,130369.5
107,16,9,909,15/03/2020,Valley Arcade,Nairobi,939.6,33694.65,112739.85
372,12,8,888,16/03/2020,Thika Road Mall,Nairobi,841.05,28300.05,322037.1
409,11,4,527,17/03/2020,Thika Road Mall,Nairobi,1337.85,66611.7,619884.9
223,7,7,732,18/03/2020,Thika Road Mall,Nairobi,475.2,5049,65168.55
329,13,10,811,19/03/2020,Capital Centre,Nairobi,1040.85,10755.45,306552.6
163,12,8,239,20/03/2020,Kisumu Mega City,Western,746.55,4843.8,142218.45
337,16,13,760,21/03/2020,Kisumu Mega City,Western,770.85,42749.1,304900.2
480,10,4,533,22/03/2020,Nyali Centre,Coast,1063.8,4955.85,440937
391,17,14,782,23/03/2020,Galleria Mall,Nairobi,1038.15,56681.1,406314.9
200,10,7,585,24/03/2020,Valley Arcade,Nairobi,1340.55,35214.75,330228.9
499,12,12,805,25/03/2020,Capital Centre,Nairobi,467.1,36211.05,208649.25
176,14,5,472,26/03/2020,Galleria Mall,Nairobi,442.8,38499.3,144963
204,16,14,885,27/03/2020,Kimathi Street,Nairobi CBD,1070.55,12649.5,201135.15
435,14,4,689,28/03/2020,Thika Road Mall,Nairobi,923.4,14427.45,411423.3
322,14,10,654,29/03/2020,Nyali Centre,Coast,615.6,22439.7,183922.65
153,11,11,861,30/03/2020,Galleria Mall,Nairobi,418.5,40609.35,189140.4
466,15,3,182,31/03/2020,JKIA Arrival,Nairobi,423.9,15249.6,211520.7
442,11,2,104,01/04/2020,Thika Road Mall,Nairobi,1243.35,9045,523482.75
348,8,3,559,02/04/2020,Kimathi Street,Nairobi CBD,531.9,65523.6,244004.4
295,6,8,719,03/04/2020,Nyali Centre,Coast,665.55,2803.95,177307.65
225,12,11,590,04/04/2020,Capital Centre,Nairobi,567,54448.2,193588.65
88,9,2,459,05/04/2020,Kisumu Mega City,Western,696.6,53478.9,183883.5
219,6,7,260,06/04/2020,Nyali Centre,Coast,407.7,21010.05,122688
296,13,8,715,07/04/2020,Kimathi Street,Nairobi CBD,862.65,10322.1,259976.25
75,17,10,342,08/04/2020,Galleria Mall,Nairobi,406.35,10983.6,58284.9
404,11,9,783,09/04/2020,Galleria Mall,Nairobi,1147.5,47484.9,505430.55
355,11,7,164,10/04/2020,Galleria Mall,Nairobi,573.75,43872.3,211605.75
458,7,4,998,11/04/2020,Kisumu Mega City,Western,884.25,53129.25,499512.15
457,6,9,719,12/04/2020,Nyali Centre,Coast,1228.5,63364.95,576637.65
62,7,8,308,13/04/2020,Kimathi Street,Nairobi CBD,996.3,47120.4,125236.8
365,9,4,812,14/04/2020,Capital Centre,Nairobi,877.5,11659.95,347098.5
440,7,10,171,15/04/2020,Kisumu Mega City,Western,665.55,17454.15,341973.9
362,6,13,348,16/04/2020,Kisumu Mega City,Western,675,57060.45,327267
85,12,3,824,17/04/2020,Valley Arcade,Nairobi,1015.2,15195.6,86829.3
222,16,4,430,18/04/2020,Galleria Mall,Nairobi,1344.6,6147.9,281321.1
69,16,3,610,19/04/2020,JKIA Arrival,Nairobi,1007.1,47872.35,138856.95
370,17,14,938,20/04/2020,Valley Arcade,Nairobi,901.8,27977.4,347730.3
313,13,2,890,21/04/2020,JKIA Arrival,Nairobi,1077.3,62210.7,363580.65
449,11,5,550,22/04/2020,Galleria Mall,Nairobi,808.65,44363.7,427343.85
191,9,6,346,23/04/2020,Galleria Mall,Nairobi,398.25,7331.85,83091.15
420,11,14,411,24/04/2020,Nyali Centre,Coast,907.2,64050.75,419497.65
192,8,7,638,25/04/2020,Nyali Centre,Coast,1306.8,18453.15,240038.1
141,17,6,512,26/04/2020,Galleria Mall,Nairobi,514.35,23656.05,108040.5
403,13,2,487,27/04/2020,Capital Centre,Nairobi,1036.8,27959.85,380108.7
371,15,4,176,28/04/2020,JKIA Arrival,Nairobi,541.35,4738.5,211582.8
337,7,2,246,29/04/2020,Nyali Centre,Coast,880.2,34194.15,324594
264,10,12,270,30/04/2020,Capital Centre,Nairobi,436.05,9508.05,160141.05
496,6,6,140,01/05/2020,JKIA Arrival,Nairobi,793.8,27874.8,398259.45
391,11,6,460,02/05/2020,JKIA Arrival,Nairobi,1102.95,24549.75,395649.9
100,7,13,57,03/05/2020,Nyali Centre,Coast,689.85,52473.15,108454.95
202,9,12,593,04/05/2020,Kisumu Mega City,Western,1011.15,54479.25,254997.45
235,11,14,517,05/05/2020,Kimathi Street,Nairobi CBD,1143.45,11497.95,251394.3
112,15,7,369,06/05/2020,Thika Road Mall,Nairobi,1275.75,25597.35,151675.2
239,16,9,443,07/05/2020,JKIA Arrival,Nairobi,575.1,26046.9,166243.05
174,13,11,318,08/05/2020,Capital Centre,Nairobi,741.15,11365.65,117111.15
199,17,13,240,09/05/2020,Galleria Mall,Nairobi,491.4,54167.4,176125.05
363,13,2,910,10/05/2020,Kimathi Street,Nairobi CBD,1341.9,48132.9,496540.8
107,16,5,724,11/05/2020,Nyali Centre,Coast,1275.75,13944.15,160826.85
391,11,11,110,12/05/2020,Galleria Mall,Nairobi,884.25,25608.15,341207.1
354,9,12,487,13/05/2020,Kimathi Street,Nairobi CBD,1190.7,8348.4,425526.75
229,13,2,313,14/05/2020,Thika Road Mall,Nairobi,865.35,42905.7,260319.15
219,13,10,846,15/05/2020,Valley Arcade,Nairobi,969.3,9378.45,210343.5
375,15,12,144,16/05/2020,Kisumu Mega City,Western,427.95,66569.85,238680
320,6,8,602,17/05/2020,Capital Centre,Nairobi,1101.6,52991.55,355734.45
103,9,8,975,18/05/2020,Kisumu Mega City,Western,467.1,27164.7,122212.8
493,9,13,519,19/05/2020,Capital Centre,Nairobi,1174.5,39622.5,562177.8
150,12,6,710,20/05/2020,Nyali Centre,Coast,1129.95,61635.6,247446.9
313,16,8,765,21/05/2020,Thika Road Mall,Nairobi,1055.7,38003.85,363679.2
102,12,13,828,22/05/2020,Capital Centre,Nairobi,373.95,12892.5,48712.05
109,16,3,563,23/05/2020,Capital Centre,Nairobi,643.95,26400.6,139347
157,13,14,739,24/05/2020,JKIA Arrival,Nairobi,603.45,57123.9,137976.75
54,16,5,986,25/05/2020,Nyali Centre,Coast,702,43964.1,146880
152,10,8,243,26/05/2020,Kisumu Mega City,Western,426.6,44394.75,143082.45
245,12,4,531,27/05/2020,Kisumu Mega City,Western,1286.55,58689.9,365065.65
311,13,3,948,28/05/2020,Nyali Centre,Coast,897.75,60486.75,335658.6
414,14,11,385,29/05/2020,Kimathi Street,Nairobi CBD,646.65,62194.5,274379.4
421,8,3,484,30/05/2020,Galleria Mall,Nairobi,739.8,7624.8,268845.75
399,8,14,245,31/05/2020,Nyali Centre,Coast,789.75,37343.7,330058.8
96,9,2,904,01/06/2020,Galleria Mall,Nairobi,945,50334.75,161905.5
404,10,6,298,02/06/2020,Thika Road Mall,Nairobi,859.95,51420.15,423816.3
360,15,13,547,03/06/2020,Valley Arcade,Nairobi,1269,41484.15,528395.4
473,6,7,261,04/06/2020,Nyali Centre,Coast,841.05,12383.55,383961.6
357,12,7,714,05/06/2020,Thika Road Mall,Nairobi,1341.9,54099.9,517853.25
193,14,10,719,06/06/2020,Galleria Mall,Nairobi,1200.15,48984.75,268704
318,13,5,515,07/06/2020,Kisumu Mega City,Western,548.1,7048.35,121131.45
419,10,2,923,08/06/2020,Capital Centre,Nairobi,1279.8,32031.45,514304.1
173,9,7,700,09/06/2020,Nyali Centre,Coast,454.95,12858.75,84574.8
155,17,6,270,10/06/2020,Galleria Mall,Nairobi,1165.05,23673.6,224370
207,12,11,322,11/06/2020,Valley Arcade,Nairobi,722.25,2546.1,152401.5
196,10,7,203,12/06/2020,Nyali Centre,Coast,1225.8,27831.6,263960.1
194,12,4,298,13/06/2020,Valley Arcade,Nairobi,1216.35,37724.4,253280.25
169,17,3,328,14/06/2020,Thika Road Mall,Nairobi,1152.9,42336,185342.85
368,6,7,489,15/06/2020,JKIA Arrival,Nairobi,1138.05,45239.85,392894.55
324,6,14,997,16/06/2020,Capital Centre,Nairobi,646.65,56670.3,228648.15
141,15,2,865,17/06/2020,Kimathi Street,Nairobi CBD,419.85,15603.3,68800.05
107,8,8,325,18/06/2020,JKIA Arrival,Nairobi,745.2,9320.4,112581.9
488,16,8,563,19/06/2020,Capital Centre,Nairobi,513,57678.75,337938.75
395,7,11,137,20/06/2020,JKIA Arrival,Nairobi,1040.85,11709.9,409017.6
278,7,14,848,21/06/2020,Kimathi Street,Nairobi CBD,688.5,65830.05,257100.75
166,12,8,972,22/06/2020,Kisumu Mega City,Western,1325.7,57083.4,314579.7
367,17,13,691,23/06/2020,Galleria Mall,Nairobi,986.85,34483.05,352541.7
328,15,12,554,24/06/2020,Kisumu Mega City,Western,1170.45,66271.5,467965.35
176,7,11,639,25/06/2020,Kisumu Mega City,Western,471.15,7790.85,41103.45
442,16,2,821,26/06/2020,JKIA Arrival,Nairobi,1210.95,21397.5,482029.65
445,9,5,290,27/06/2020,Thika Road Mall,Nairobi,1271.7,43568.55,619289.55
178,7,14,702,28/06/2020,JKIA Arrival,Nairobi,830.25,24502.5,164255.85
107,11,8,789,29/06/2020,Valley Arcade,Nairobi,951.75,62761.5,167409.45
171,13,12,724,30/06/2020,Valley Arcade,Nairobi,1112.4,5691.6,209510.55
50,15,10,285,01/07/2020,Kimathi Street,Nairobi CBD,514.35,37693.35,112554.9
288,9,6,177,02/07/2020,JKIA Arrival,Nairobi,846.45,40435.2,268354.35
339,10,14,552,03/07/2020,Galleria Mall,Nairobi,741.15,44528.4,300435.75
145,9,3,249,04/07/2020,Kimathi Street,Nairobi CBD,486,18262.8,94513.5
175,8,8,951,05/07/2020,Nyali Centre,Coast,710.1,25466.4,73708.65
167,10,11,592,06/07/2020,Thika Road Mall,Nairobi,406.35,57159,109124.55
97,14,2,551,07/07/2020,Kimathi Street,Nairobi CBD,363.15,14245.2,78511.95
138,13,8,699,08/07/2020,Kimathi Street,Nairobi CBD,473.85,56047.95,120444.3
286,13,7,541,09/07/2020,Kisumu Mega City,Western,1312.2,38569.5,409920.75
422,13,8,70,10/07/2020,Capital Centre,Nairobi,893.7,51768.45,424182.15
434,17,14,283,11/07/2020,JKIA Arrival,Nairobi,1314.9,48555.45,619250.4
321,13,11,763,12/07/2020,Thika Road Mall,Nairobi,774.9,15076.8,209661.75
238,12,4,840,13/07/2020,Capital Centre,Nairobi,653.4,38977.2,209067.75
241,13,4,692,14/07/2020,Capital Centre,Nairobi,850.5,58749.3,270831.6
496,16,8,465,15/07/2020,Kisumu Mega City,Western,783,29934.9,373110.3
118,13,14,197,16/07/2020,Kimathi Street,Nairobi CBD,444.15,65290.05,123589.8
327,13,3,78,17/07/2020,JKIA Arrival,Nairobi,986.85,31264.65,343468.35
398,17,2,410,18/07/2020,Kimathi Street,Nairobi CBD,556.2,10794.6,232424.1
296,15,10,357,19/07/2020,Thika Road Mall,Nairobi,965.25,27110.7,299525.85
125,12,10,932,20/07/2020,Kimathi Street,Nairobi CBD,996.3,64304.55,211098.15
203,17,8,991,21/07/2020,Kisumu Mega City,Western,491.4,22499.1,110068.2
193,6,8,211,22/07/2020,Valley Arcade,Nairobi,399.6,58774.95,145903.95
484,9,4,918,23/07/2020,Nyali Centre,Coast,1128.6,59644.35,559688.4
135,9,11,901,24/07/2020,Kimathi Street,Nairobi CBD,803.25,24514.65,120364.65
234,10,3,110,25/07/2020,Capital Centre,Nairobi,396.9,6858,109930.5
334,15,12,174,26/07/2020,Valley Arcade,Nairobi,1344.6,49279.05,497178
269,11,8,505,27/07/2020,Kimathi Street,Nairobi CBD,395.55,21956.4,94248.9
118,9,10,120,28/07/2020,Nyali Centre,Coast,1040.85,53140.05,166044.6
96,7,2,887,29/07/2020,Kisumu Mega City,Western,1333.8,30631.5,142006.5
143,11,14,956,30/07/2020,JKIA Arrival,Nairobi,579.15,33450.3,122983.65
287,13,5,925,31/07/2020,Galleria Mall,Nairobi,481.95,52809.3,158256.45
495,13,7,515,01/08/2020,Thika Road Mall,Nairobi,460.35,26643.6,221320.35
253,12,8,292,02/08/2020,Nyali Centre,Coast,643.95,30662.55,155210.85
449,11,11,539,03/08/2020,Galleria Mall,Nairobi,440.1,26234.55,228009.6
267,7,8,810,04/08/2020,Valley Arcade,Nairobi,1038.15,25650,287140.95
481,12,11,270,05/08/2020,Galleria Mall,Nairobi,400.95,36140.85,215293.95
390,16,3,522,06/08/2020,Kimathi Street,Nairobi CBD,853.2,54851.85,353042.55
88,17,5,582,07/08/2020,Galleria Mall,Nairobi,1347.3,25281.45,132556.5
149,10,6,543,08/08/2020,Galleria Mall,Nairobi,1161,36028.8,194486.4
338,11,13,948,09/08/2020,Kisumu Mega City,Western,959.85,45719.1,404701.65
303,15,2,131,10/08/2020,Kisumu Mega City,Western,648,19174.05,232390.35
271,13,2,905,11/08/2020,JKIA Arrival,Nairobi,969.3,19708.65,247326.75
406,13,11,928,12/08/2020,Galleria Mall,Nairobi,870.75,63094.95,417274.2
72,8,4,571,13/08/2020,Valley Arcade,Nairobi,769.5,49211.55,149175
299,17,11,972,14/08/2020,Thika Road Mall,Nairobi,469.8,39530.7,167062.5
59,17,4,61,15/08/2020,Thika Road Mall,Nairobi,1235.25,44196.3,93623.85
295,12,13,312,16/08/2020,Kimathi Street,Nairobi CBD,792.45,3288.6,166812.75
374,6,9,706,17/08/2020,Kimathi Street,Nairobi CBD,534.6,42237.45,277653.15
149,6,10,498,18/08/2020,Kimathi Street,Nairobi CBD,710.1,35054.1,142646.4
339,12,12,241,19/08/2020,Kisumu Mega City,Western,757.35,37451.7,295111.35
229,15,13,811,20/08/2020,Kimathi Street,Nairobi CBD,1175.85,25126.2,264527.1
272,14,2,163,21/08/2020,Kisumu Mega City,Western,1080,6739.2,240259.5
443,12,12,75,22/08/2020,Galleria Mall,Nairobi,1116.45,14139.9,437143.5
299,15,3,832,23/08/2020,Galleria Mall,Nairobi,348.3,64241.1,153881.1
196,10,11,548,24/08/2020,Thika Road Mall,Nairobi,758.7,28385.1,199362.6
491,13,3,557,25/08/2020,Thika Road Mall,Nairobi,824.85,32220.45,453131.55
145,7,5,594,26/08/2020,Thika Road Mall,Nairobi,356.4,4837.05,54770.85
306,14,3,111,27/08/2020,Galleria Mall,Nairobi,600.75,3835.35,130219.65
374,11,8,278,28/08/2020,Kisumu Mega City,Western,1107,48791.7,459211.95
53,14,14,864,29/08/2020,Kisumu Mega City,Western,476.55,36945.45,112303.8
65,7,10,656,30/08/2020,Kimathi Street,Nairobi CBD,878.85,35001.45,130149.45
329,8,8,84,31/08/2020,Kimathi Street,Nairobi CBD,554.85,17432.55,189653.4
385,17,13,754,01/09/2020,JKIA Arrival,Nairobi,349.65,50615.55,190745.55
296,13,7,505,02/09/2020,Nyali Centre,Coast,581.85,12479.4,172720.35
307,6,11,637,03/09/2020,Capital Centre,Nairobi,1325.7,13914.45,420244.2
433,15,2,940,04/09/2020,Thika Road Mall,Nairobi,1148.85,31826.25,515976.75
209,12,12,551,05/09/2020,Thika Road Mall,Nairobi,1309.5,20287.8,266333.4
389,12,11,810,06/09/2020,Galleria Mall,Nairobi,831.6,17720.1,306628.2
201,6,10,644,07/09/2020,JKIA Arrival,Nairobi,448.2,44032.95,134122.5
445,14,6,74,08/09/2020,Capital Centre,Nairobi,892.35,44412.3,395259.75
227,13,12,618,09/09/2020,Galleria Mall,Nairobi,797.85,55891.35,283338
212,9,6,81,10/09/2020,Kisumu Mega City,Western,1192.05,28981.8,249644.7
429,15,7,880,11/09/2020,JKIA Arrival,Nairobi,437.4,6184.35,191393.55
82,16,10,61,12/09/2020,Kisumu Mega City,Western,831.6,19453.5,72693.45
466,10,14,368,13/09/2020,Thika Road Mall,Nairobi,490.05,66177,291907.8
494,7,9,894,14/09/2020,Valley Arcade,Nairobi,666.9,40792.95,354618
228,14,9,653,15/09/2020,Kisumu Mega City,Western,1084.05,48298.95,309617.1
476,17,9,50,16/09/2020,Valley Arcade,Nairobi,819.45,1837.35,346809.6
150,17,2,484,17/09/2020,Kisumu Mega City,Western,718.2,35629.2,119642.4
317,11,2,887,18/09/2020,JKIA Arrival,Nairobi,737.1,3832.65,216558.9
372,8,9,185,19/09/2020,JKIA Arrival,Nairobi,803.25,39004.2,306734.85
114,17,6,245,20/09/2020,Nyali Centre,Coast,1132.65,62259.3,251282.25
466,12,10,182,21/09/2020,Capital Centre,Nairobi,1240.65,65411.55,611427.15
217,14,3,135,22/09/2020,Kisumu Mega City,Western,1305.45,37107.45,292580.1
379,8,10,525,23/09/2020,Nyali Centre,Coast,1134,31660.2,487617.3
92,7,13,856,24/09/2020,Nyali Centre,Coast,657.45,63863.1,170181
93,12,9,840,25/09/2020,Valley Arcade,Nairobi,1034.1,45909.45,131205.15
334,12,10,373,26/09/2020,Capital Centre,Nairobi,780.3,5643,221668.65
446,9,5,229,27/09/2020,Thika Road Mall,Nairobi,595.35,32158.35,300014.55
61,16,2,565,28/09/2020,Valley Arcade,Nairobi,1189.35,17242.2,92331.9
144,14,2,687,29/09/2020,Kisumu Mega City,Western,376.65,32427,121489.2
351,13,6,224,30/09/2020,Thika Road Mall,Nairobi,1250.1,31479.3,424233.45
435,6,3,812,01/10/2020,Nyali Centre,Coast,804.6,39858.75,393719.4
302,6,9,70,02/10/2020,JKIA Arrival,Nairobi,982.8,24950.7,244117.8
